Sster_gene	Sster_mRNA	Sster_transcript	SSTP_gene	SSTP_transcript
nbisL1-mrna-10	mrna-10	mrna-10	SSTP_0000110100	SSTP_0000110100.1
nbisL1-mrna-11	mrna-11	mrna-11	SSTP_0000156000	SSTP_0000156000.1
nbisL1-mrna-12	mrna-12	mrna-12	SSTP_0000219150	SSTP_0000219150.1
nbisL1-mrna-13	mrna-13	mrna-13	SSTP_0000244000	SSTP_0000244000.1
nbisL1-mrna-14	mrna-14	mrna-14	SSTP_0000771700	SSTP_0000771700.1
nbisL1-mrna-15	mrna-15	mrna-15	SSTP_0000012000	SSTP_0000012000.1
nbisL1-mrna-16	mrna-16	mrna-16	SSTP_0000461650	SSTP_0000461650.1
nbisL1-mrna-17	mrna-17	mrna-17	SSTP_0000530300	SSTP_0000530300.1
nbisL1-mrna-18	mrna-18	mrna-18	SSTP_0000268800	SSTP_0000268800.1
nbisL1-mrna-19	mrna-19	mrna-19	SSTP_0000297500	SSTP_0000297500.1
nbisL1-mrna-1	mrna-1	mrna-1	SSTP_0000447000	SSTP_0000447000.1
nbisL1-mrna-20	mrna-20	mrna-20	SSTP_0001261000	SSTP_0001261000.1
nbisL1-mrna-21	mrna-21	mrna-21	SSTP_0001152400	SSTP_0001152400.1
nbisL1-mrna-22	mrna-22	mrna-22	SSTP_0000443700	SSTP_0000443700.1
nbisL1-mrna-23	mrna-23	mrna-23	SSTP_0000886400	SSTP_0000886400.1
nbisL1-mrna-24	mrna-24	mrna-24	SSTP_0000609150	SSTP_0000609150.1
nbisL1-mrna-25	mrna-25	mrna-25	SSTP_0000563100	SSTP_0000563100.1
nbisL1-mrna-26	mrna-26	mrna-26	SSTP_0000483600	SSTP_0000483600.1
nbisL1-mrna-27	mrna-27	mrna-27	SSTP_0000275800	SSTP_0000275800.1
nbisL1-mrna-28	mrna-28	mrna-28	SSTP_0000273550	SSTP_0000273550.1
nbisL1-mrna-29	mrna-29	mrna-29	SSTP_0001038450	SSTP_0001038450.1
nbisL1-mrna-2	mrna-2	mrna-2	SSTP_0000942650	SSTP_0000942650.1
nbisL1-mrna-30	mrna-30	mrna-30	SSTP_0000006050	SSTP_0000006050.1
nbisL1-mrna-31	mrna-31	mrna-31		
nbisL1-mrna-32	mrna-32	mrna-32	SSTP_0000451750	SSTP_0000451750.1
nbisL1-mrna-33	mrna-33	mrna-33	SSTP_0000996500	SSTP_0000996500.1
nbisL1-mrna-34	mrna-34	mrna-34		
nbisL1-mrna-35	mrna-35	mrna-35	SSTP_0001123300	SSTP_0001123300.1
nbisL1-mrna-36	mrna-36	mrna-36	SSTP_0000974400	SSTP_0000974400.1
nbisL1-mrna-37	mrna-37	mrna-37	SSTP_0001281100	SSTP_0001281100.1
nbisL1-mrna-38	mrna-38	mrna-38	SSTP_0001024100	SSTP_0001024100.1
nbisL1-mrna-39	mrna-39	mrna-39	SSTP_0000974400	SSTP_0000974400.1
nbisL1-mrna-3	mrna-3	mrna-3		
nbisL1-mrna-40	mrna-40	mrna-40	SSTP_0001283200	SSTP_0001283200.1
nbisL1-mrna-4	mrna-4	mrna-4	SSTP_0000256100	SSTP_0000256100.1
nbisL1-mrna-5	mrna-5	mrna-5	SSTP_0000354500	SSTP_0000354500.1
nbisL1-mrna-6	mrna-6	mrna-6	SSTP_0000386700	SSTP_0000386700.1
nbisL1-mrna-7	mrna-7	mrna-7	SSTP_0000418500	SSTP_0000418500.1
nbisL1-mrna-8	mrna-8	mrna-8	SSTP_0000101200	SSTP_0000101200.1
nbisL1-mrna-9	mrna-9	mrna-9	SSTP_0000105950	SSTP_0000105950.1
XLOC_000001	TCONS_00000001	TCONS_00000001.p1	SSTP_0001043800	SSTP_0001043800.1
XLOC_000002	TCONS_00000002	TCONS_00000002.p1	SSTP_0001043900	SSTP_0001043900.1
XLOC_000003	TCONS_00000003	TCONS_00000003.p1	SSTP_0001044100	SSTP_0001044100.1
XLOC_000004	TCONS_00000004	TCONS_00000004.p1	SSTP_0001044400	SSTP_0001044400.1
XLOC_000004	TCONS_00000005	TCONS_00000005.p1	SSTP_0001044500	SSTP_0001044500.1
XLOC_000004	TCONS_00003615	TCONS_00003615.p1	SSTP_0001044400	SSTP_0001044400.1
XLOC_000005	TCONS_00000006	TCONS_00000006.p1	SSTP_0001044700	SSTP_0001044700.1
XLOC_000007	TCONS_00000007	TCONS_00000007.p1	SSTP_0001045100	SSTP_0001045100.1
XLOC_000007	TCONS_00000008	TCONS_00000008.p1	SSTP_0001045200	SSTP_0001045200.1
XLOC_000007	TCONS_00003617	TCONS_00003617.p1	SSTP_0001045100	SSTP_0001045100.1
XLOC_000008	TCONS_00000010	TCONS_00000010.p1	SSTP_0001229600	SSTP_0001229600.1
XLOC_000008	TCONS_00003618	TCONS_00003618.p1	SSTP_0001229600	SSTP_0001229600.1
XLOC_000009	TCONS_00000011	TCONS_00000011.p1	SSTP_0001045600	SSTP_0001045600.1
XLOC_000009	TCONS_00003619	TCONS_00003619.p1	SSTP_0001045600	SSTP_0001045600.1
