braker_gene	braker_transcript	SSTP_gene	SSTP_transcript
g1	g1.t1	SSTP_0001043400	SSTP_0001043400.1
g10	g10.t1	SSTP_0001044300	SSTP_0001044300.1
g100	g100.t1	SSTP_0001213750	SSTP_0001213750.1
g1000	g1000.t1	SSTP_0000316100	SSTP_0000316100.1
g10000	g10000.t1	SSTP_0000849600	SSTP_0000849600.1
g10001	g10001.t1	SSTP_0000849700	SSTP_0000849700.1
g10002	g10002.t1	SSTP_0000849800	SSTP_0000849800.1
g10003	g10003.t1	SSTP_0000849900	SSTP_0000849900.1
g10004	g10004.t1	SSTP_0000850000	SSTP_0000850000.1
g10005	g10005.t1	SSTP_0000850100	SSTP_0000850100.1
g10005	g10005.t2	SSTP_0000850100	SSTP_0000850100.1
g10006	g10006.t1	SSTP_0000850200	SSTP_0000850200.1
g10007	g10007.t1	SSTP_0000850300	SSTP_0000850300.1
g10008	g10008.t1	SSTP_0000850400	SSTP_0000850400.1
g10009	g10009.t1	SSTP_0000850500	SSTP_0000850500.1
g1001	g1001.t1	SSTP_0000316200	SSTP_0000316200.1
g1001	g1001.t2	SSTP_0000316200	SSTP_0000316200.1
g10010	g10010.t1	SSTP_0000850600	SSTP_0000850600.1
g10011	g10011.t1	SSTP_0000850800	SSTP_0000850800.1
g10012	g10012.t1	SSTP_0000850900	SSTP_0000850900.1
g10013	g10013.t1	SSTP_0000851000	SSTP_0000851000.1
g10013	g10013.t2	SSTP_0000851000	SSTP_0000851000.1
g10014	g10014.t1	SSTP_0000851100	SSTP_0000851100.1
g10015	g10015.t1	SSTP_0000851200	SSTP_0000851200.1
g10016	g10016.t1	SSTP_0000851300	SSTP_0000851300.1
g10017	g10017.t1	SSTP_0000851400	SSTP_0000851400.1
g10018	g10018.t1	SSTP_0000851500	SSTP_0000851500.1
g10019	g10019.t1	SSTP_0000851600	SSTP_0000851600.1
g1002	g1002.t1	SSTP_0000316300	SSTP_0000316300.1
g10020	g10020.t1	SSTP_0000851700	SSTP_0000851700.1
g10021	g10021.t1	SSTP_0000851800	SSTP_0000851800.1
g10022	g10022.t1	SSTP_0000851900	SSTP_0000851900.1
g10023	g10023.t1	SSTP_0000852000	SSTP_0000852000.1
g10024	g10024.t1	SSTP_0000852100	SSTP_0000852100.1
g10025	g10025.t1	SSTP_0000852200	SSTP_0000852200.1
g10026	g10026.t1	SSTP_0000852400	SSTP_0000852400.1
g10027	g10027.t1	SSTP_0000852500	SSTP_0000852500.1
g10028	g10028.t1	SSTP_0000852600	SSTP_0000852600.1
g10029	g10029.t1	SSTP_0000852700	SSTP_0000852700.1
g1003	g1003.t1	SSTP_0000316400	SSTP_0000316400.1
g10030	g10030.t1	SSTP_0000852800	SSTP_0000852800.1
g10031	g10031.t1	SSTP_0000852900	SSTP_0000852900.1
g10033	g10033.t1	SSTP_0000853100	SSTP_0000853100.1
g10034	g10034.t1	SSTP_0000853200	SSTP_0000853200.1
g10034	g10034.t2	SSTP_0000853200	SSTP_0000853200.1
g10035	g10035.t1	SSTP_0000853300	SSTP_0000853300.1
g10035	g10035.t2	SSTP_0000853300	SSTP_0000853300.1
g10036	g10036.t1	SSTP_0000853400	SSTP_0000853400.1
g10037	g10037.t1	SSTP_0000853500	SSTP_0000853500.1
g10037	g10037.t2	SSTP_0000853500	SSTP_0000853500.1
g10038	g10038.t1	SSTP_0000853600	SSTP_0000853600.1
g10039	g10039.t1	SSTP_0000853700	SSTP_0000853700.1
g1004	g1004.t1	SSTP_0000316500	SSTP_0000316500.1
g10040	g10040.t1	SSTP_0001235100	SSTP_0001235100.1
g10041	g10041.t1	SSTP_0000854000	SSTP_0000854000.1
g10042	g10042.t1	SSTP_0000854100	SSTP_0000854100.1
g10043	g10043.t1	SSTP_0000854200	SSTP_0000854200.1
g10044	g10044.t1	SSTP_0000854300	SSTP_0000854300.1
g10045	g10045.t1	SSTP_0000469500	SSTP_0000469500.1
g10046	g10046.t1	SSTP_0000854500	SSTP_0000854500.1
g10047	g10047.t1	SSTP_0000854600	SSTP_0000854600.1
g10048	g10048.t1	SSTP_0000854700	SSTP_0000854700.1
g10049	g10049.t1	SSTP_0000854800	SSTP_0000854800.1
g1005	g1005.t1	SSTP_0000316600	SSTP_0000316600.1
g10050	g10050.t1	SSTP_0000854900	SSTP_0000854900.1
g10051	g10051.t1	SSTP_0000855000	SSTP_0000855000.1
g10051	g10051.t2	SSTP_0000855000	SSTP_0000855000.1
g10052	g10052.t1	SSTP_0000855100	SSTP_0000855100.1
g10053	g10053.t1	SSTP_0000855200	SSTP_0000855200.1
g10054	g10054.t1	SSTP_0000855300	SSTP_0000855300.1
g10055	g10055.t1	SSTP_0000855400	SSTP_0000855400.1
g10056	g10056.t1	SSTP_0000855500	SSTP_0000855500.1
g10057	g10057.t1	SSTP_0000855600	SSTP_0000855600.1
g10058	g10058.t1	SSTP_0000855700	SSTP_0000855700.1
g10059	g10059.t1	SSTP_0000855800	SSTP_0000855800.1
g10059	g10059.t2	SSTP_0000855800	SSTP_0000855800.1
g1006	g1006.t1	SSTP_0000316700	SSTP_0000316700.1
g10060	g10060.t1	SSTP_0000855900	SSTP_0000855900.1
g10061	g10061.t1	SSTP_0000856000	SSTP_0000856000.1
g10061	g10061.t2	SSTP_0000856000	SSTP_0000856000.1
g10062	g10062.t1	SSTP_0000856100	SSTP_0000856100.1
g10063	g10063.t1	SSTP_0000856200	SSTP_0000856200.1
g10064	g10064.t1	SSTP_0000856300	SSTP_0000856300.1
g10065	g10065.t1	SSTP_0000856400	SSTP_0000856400.1
g10066	g10066.t1	SSTP_0000856500	SSTP_0000856500.1
g10067	g10067.t1	SSTP_0000856600	SSTP_0000856600.1
g10067	g10067.t2	SSTP_0000856600	SSTP_0000856600.1
g10068	g10068.t1	SSTP_0000856700	SSTP_0000856700.1
g10069	g10069.t1	SSTP_0000856800	SSTP_0000856800.1
g1007	g1007.t1	SSTP_0000316800	SSTP_0000316800.1
g10070	g10070.t1	SSTP_0000856900	SSTP_0000856900.1
g10071	g10071.t1	SSTP_0000857000	SSTP_0000857000.1
g10072	g10072.t1	SSTP_0000857100	SSTP_0000857100.1
g10073	g10073.t1	SSTP_0000857200	SSTP_0000857200.1
g10074	g10074.t1	SSTP_0000857300	SSTP_0000857300.1
g10075	g10075.t1	SSTP_0000857400	SSTP_0000857400.1
g10076	g10076.t1	SSTP_0000857500	SSTP_0000857500.1
g10077	g10077.t1	SSTP_0000857600	SSTP_0000857600.1
g10078	g10078.t1	SSTP_0000179700	SSTP_0000179700.1
g10079	g10079.t1	SSTP_0000857800	SSTP_0000857800.1
g1008	g1008.t1	SSTP_0000316900	SSTP_0000316900.1
g1008	g1008.t2	SSTP_0000316900	SSTP_0000316900.1
g10080	g10080.t1	SSTP_0000857900	SSTP_0000857900.1
g10081	g10081.t1	SSTP_0000858000	SSTP_0000858000.1
g10082	g10082.t1	SSTP_0000858100	SSTP_0000858100.1
g10083	g10083.t1	SSTP_0000858200	SSTP_0000858200.1
g10084	g10084.t1	SSTP_0000858300	SSTP_0000858300.1
g10085	g10085.t1	SSTP_0000858400	SSTP_0000858400.1
g10085	g10085.t2	SSTP_0000858400	SSTP_0000858400.1
g10086	g10086.t1	SSTP_0000858500	SSTP_0000858500.1
g10087	g10087.t1	SSTP_0000858600	SSTP_0000858600.1
g10088	g10088.t1	SSTP_0000858700	SSTP_0000858700.1
g10089	g10089.t1	SSTP_0000858800	SSTP_0000858800.1
g1009	g1009.t1	SSTP_0000317000	SSTP_0000317000.1
g10090	g10090.t1	SSTP_0000858900	SSTP_0000858900.1
g10091	g10091.t1	SSTP_0000859000	SSTP_0000859000.1
g10092	g10092.t1	SSTP_0000859100	SSTP_0000859100.1
g10093	g10093.t1	SSTP_0000859200	SSTP_0000859200.1
g10093	g10093.t2	SSTP_0000859200	SSTP_0000859200.1
g10094	g10094.t1	SSTP_0000859300	SSTP_0000859300.1
g10095	g10095.t1	SSTP_0000859400	SSTP_0000859400.1
g10096	g10096.t1	SSTP_0000859500	SSTP_0000859500.1
g10097	g10097.t1	SSTP_0000859600	SSTP_0000859600.1
g10098	g10098.t1	SSTP_0000859700	SSTP_0000859700.1
g10099	g10099.t1	SSTP_0000859800	SSTP_0000859800.1
g101	g101.t1	SSTP_0000633200	SSTP_0000633200.1
g1010	g1010.t1	SSTP_0000317100	SSTP_0000317100.1
g1010	g1010.t2	SSTP_0000317100	SSTP_0000317100.1
g10100	g10100.t1	SSTP_0000859900	SSTP_0000859900.1
g10101	g10101.t1	SSTP_0000860000	SSTP_0000860000.1
g10102	g10102.t1	SSTP_0000860100	SSTP_0000860100.1
g10103	g10103.t1	SSTP_0000860200	SSTP_0000860200.1
g10104	g10104.t1	SSTP_0000860300	SSTP_0000860300.1
g10104	g10104.t2	SSTP_0000860300	SSTP_0000860300.1
g10104	g10104.t3	SSTP_0000860300	SSTP_0000860300.1
g10105	g10105.t1	SSTP_0000860400	SSTP_0000860400.1
g10107	g10107.t1	SSTP_0000860500	SSTP_0000860500.1
g10108	g10108.t1	SSTP_0000860600	SSTP_0000860600.1
g10109	g10109.t1	SSTP_0000860700	SSTP_0000860700.1
g1011	g1011.t1	SSTP_0000317200	SSTP_0000317200.1
g10110	g10110.t1	SSTP_0000860800	SSTP_0000860800.1
g10111	g10111.t1	SSTP_0000860800	SSTP_0000860800.1
g10112	g10112.t1	SSTP_0000860900	SSTP_0000860900.1
g10113	g10113.t1	SSTP_0000861000	SSTP_0000861000.1
g10114	g10114.t1	SSTP_0000861100	SSTP_0000861100.1
g10115	g10115.t1	SSTP_0001133600	SSTP_0001133600.1
g10116	g10116.t1	SSTP_0000481200	SSTP_0000481200.1
g10117	g10117.t1	SSTP_0000844100	SSTP_0000844100.1
g10118	g10118.t1	SSTP_0000844000	SSTP_0000844000.1
g10119	g10119.t1	SSTP_0000843900	SSTP_0000843900.1
g1012	g1012.t1	SSTP_0000317300	SSTP_0000317300.1
g10120	g10120.t1	SSTP_0000441800	SSTP_0000441800.1
g10121	g10121.t1	SSTP_0000441900	SSTP_0000441900.1
g10122	g10122.t1	SSTP_0000442000	SSTP_0000442000.1
g10123	g10123.t1	SSTP_0000442100	SSTP_0000442100.1
g10124	g10124.t1	SSTP_0000442200	SSTP_0000442200.1
g10125	g10125.t1	SSTP_0000442300	SSTP_0000442300.1
g10126	g10126.t1	SSTP_0000442400	SSTP_0000442400.1
g10126	g10126.t2	SSTP_0000442400	SSTP_0000442400.1
g10127	g10127.t1	SSTP_0000442500	SSTP_0000442500.1
g10128	g10128.t1	SSTP_0000442600	SSTP_0000442600.1
g10129	g10129.t1	SSTP_0000442700	SSTP_0000442700.1
g1013	g1013.t1	SSTP_0000317400	SSTP_0000317400.1
g10130	g10130.t1	SSTP_0000442800	SSTP_0000442800.1
g10131	g10131.t1	SSTP_0000442900	SSTP_0000442900.1
g10132	g10132.t1	SSTP_0000443000	SSTP_0000443000.1
